key	localised_title	localised_description	ui_image	generate	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/sm0_rd										
sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1			land_defeat	false	true	Event				false
sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1			land_defeat	false	true	Event				false
sm0_rd_wh2_main_rogue_1			all/wh2_rogue_army_encountered	false	true	Event				false
sm0_rd_wh2_main_rogue_chaos_1			all/wh2_rogue_army_encountered	false	true	Event				false
sm0_rd_wh2_main_sc_def_dark_elves_1			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_hef_high_elves_1			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_lzd_lizardmen_1			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_skv_skaven_1			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_cth_cathay_1			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_dae_daemons_1			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_kho_khorne_1			defeat	false	true	Event				false
sm0_rd_wh3_main_sc_ksl_kislev_1			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_nur_nurgle_1			defeat	false	true	Event				false
sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_1			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_sla_slaanesh_1			defeat	false	true	Event				false
sm0_rd_wh3_main_sc_tze_tzeentch_1			defeat	false	true	Event				false
sm0_rd_wh_dlc03_sc_bst_beastmen_1			land_defeat	false	true	Event				false
sm0_rd_wh_dlc05_sc_wef_wood_elves_1			land_defeat	false	true	Event				false
sm0_rd_wh_dlc08_sc_nor_norsca_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_brt_bretonnia_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_chs_chaos_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_dwf_dwarfs_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_emp_empire_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_grn_greenskins_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_grn_savage_orcs_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_teb_teb_1			land_defeat	false	true	Event				false
sm0_rd_wh_main_sc_vmp_vampire_counts_1			land_defeat	false	true	Event				false
sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_2			land_defeat	false	true	Event				false
sm0_rd_wh2_dlc11_sc_cst_vampire_coast_2			land_defeat	false	true	Event				false
sm0_rd_wh2_main_rogue_2			all/wh2_rogue_army_encountered	false	true	Event				false
sm0_rd_wh2_main_rogue_chaos_2			all/wh2_rogue_army_encountered	false	true	Event				false
sm0_rd_wh2_main_sc_def_dark_elves_2			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_hef_high_elves_2			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_lzd_lizardmen_2			land_defeat	false	true	Event				false
sm0_rd_wh2_main_sc_skv_skaven_2			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_cth_cathay_2			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_dae_daemons_2			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_kho_khorne_2			defeat	false	true	Event				false
sm0_rd_wh3_main_sc_ksl_kislev_2			land_defeat	false	true	Event				false
sm0_rd_wh3_main_sc_nur_nurgle_2			defeat	false	true	Event				false
